0.146667 -0.0333333 0 0 -0.0333333 0 0 0 0 0 0 0 0 0 0 0 
-0.0333333 0.14 -0.0333333 0 0 -0.0333333 0 0 0 0 0 0 0 0 0 0 
0 -0.0333333 0.14 -0.0333333 0 0 -0.0333333 0 0 0 0 0 0 0 0 0 
0 0 -0.0333333 0.146667 0 0 0 -0.0333333 0 0 0 0 0 0 0 0 
-0.0333333 0 0 0 0.14 -0.0333333 0 0 -0.0333333 0 0 0 0 0 0 0 
0 -0.0333333 0 0 -0.0333333 0.133333 -0.0333333 0 0 -0.0333333 0 0 0 0 0 0 
0 0 -0.0333333 0 0 -0.0333333 0.133333 -0.0333333 0 0 -0.0333333 0 0 0 0 0 
0 0 0 -0.0333333 0 0 -0.0333333 0.14 0 0 0 -0.0333333 0 0 0 0 
0 0 0 0 -0.0333333 0 0 0 0.14 -0.0333333 0 0 -0.0333333 0 0 0 
0 0 0 0 0 -0.0333333 0 0 -0.0333333 0.133333 -0.0333333 0 0 -0.0333333 0 0 
0 0 0 0 0 0 -0.0333333 0 0 -0.0333333 0.133333 -0.0333333 0 0 -0.0333333 0 
0 0 0 0 0 0 0 -0.0333333 0 0 -0.0333333 0.14 0 0 0 -0.0333333 
0 0 0 0 0 0 0 0 -0.0333333 0 0 0 0.146667 -0.0333333 0 0 
0 0 0 0 0 0 0 0 0 -0.0333333 0 0 -0.0333333 0.14 -0.0333333 0 
0 0 0 0 0 0 0 0 0 0 -0.0333333 0 0 -0.0333333 0.14 -0.0333333 
0 0 0 0 0 0 0 0 0 0 0 -0.0333333 0 0 -0.0333333 0.146667 
